"MEBP 8-8S";"3";""
"GEH KS 42";"1";""
"METALL 120";"1";""
"WS R13-112 LPLA";"1";""
"IS R3S GN";"1";""
"IS R3S RT";"1";""
"DK 5MM";"2";""
